,AG_05414_AS.cel,AG_11745_AS.cel,AG_13927_AS.cel,KB_5047_2070_2_AS.CEL,KB_5275_2_AS.CEL,KB_5828_AS.cel,KB_6268_2_AS.cel,KB_8025_AS.cel,KB_8840_AS.cel
1088_at,8.8136104013859,8.50041541033857,8.30796292395816,8.60281778604657,8.9709768117783,8.60761785705611,8.61496763314876,9.10468504692608,9.09689186473803
1089_i_at,9.10422489131384,8.96964221943306,8.77696029914508,8.86639632255596,9.1352900719001,8.75425965834412,9.11535518028681,8.93105979429956,9.04148912679955
109_at,9.918628746519,10.0841100105808,9.98040561240587,9.96896303570269,10.2250259295048,10.0158297645428,10.1847638296296,10.2007628881637,10.0805698448030
1090_f_at,8.6717696168275,8.69734991235767,8.58987491742649,8.69734991235767,8.70749628766065,8.569087730643,8.81358570747,8.5722007576002,8.75447544027815
1091_at,10.7424067938387,10.9056891897900,10.8619719916986,10.9488257397191,10.8088708619439,10.7836698946399,10.8210977714056,10.7359718851728,10.8088708619439
1092_at,10.6509067329713,10.9010690780670,10.8131207437245,10.7678203882388,10.7007696076926,10.8330115335019,10.7514519179376,10.7008117506292,10.6644346363896
1093_at,8.52269410542706,8.5916277630711,8.50109799246988,8.64832150657885,8.58638310913623,8.58993298885777,8.59234861736603,8.73968652716469,8.6189939837735
1094_g_at,9.16448543592094,9.26213399782261,9.32668785646324,9.46536313660442,9.24419741446427,9.35561961899587,9.38398726589224,9.17832985025748,9.27646940434808
1095_s_at,8.15109761838609,8.31475504730356,8.04989627491464,8.1947568094499,8.22409120637474,8.36655465311894,8.28907606620459,8.31293755518706,8.23674552289815
1096_g_at,9.07029712011443,9.15997294221051,9.0840724195734,9.22364982166282,9.04835540327258,8.99409814109799,9.01959486708956,9.10547578928406,9.14620923048719
1097_s_at,8.9910341531744,9.08015965449462,9.11387269812986,9.11844030610368,9.19694641289373,9.03929318919046,9.11387269812986,9.09214461598043,9.1522164453789
1098_at,8.48387245520147,8.52468726523717,8.52468726523717,8.57698323555471,8.53199759013813,8.51983111011833,8.48211835301014,8.50243260331436,8.57334945488294
1099_s_at,9.03169528619176,9.25456969529042,9.24641526156393,9.27886039741861,10.1019773658826,9.9081928318519,9.25610419477128,10.6817629564328,9.13743549831003
110_at,10.6167276242697,10.9327878244531,10.6704812614492,10.8045261220347,10.8098041007735,10.8515759819801,10.8333952307478,10.9340414440730,10.8528795368090
1100_at,10.9166982493526,11.3751729226145,11.3587775977292,9.78297069961922,10.3334653563631,10.4879140787145,10.3608063087741,11.0961707683499,10.1601742877631
1101_at,9.35770360480217,9.34610997993637,9.2428738954634,9.26802333348782,9.22488508706711,9.2858378326273,9.20099953369089,9.33207710607629,9.34340479558532
1102_s_at,9.75458109145843,9.99998468054075,9.71133274761018,9.53581387655245,9.6075312677489,9.80724990997516,9.59411697862335,9.6415826611093,9.42304294972878
1103_at,9.03279251422502,9.09064008472425,9.01063184928008,9.0057121902778,9.03020650761207,8.95316803162025,9.03279251422502,9.09254850505163,9.03279251422502
1104_s_at,10.5018237669588,10.8227349434230,10.5499886105809,11.2050616935992,10.3584596262225,10.1516748036332,10.8081149845729,10.5243520698049,11.1213386941323
1105_s_at,10.0149989332652,10.199949154702,10.1041225005638,10.2625525319146,10.2096668848704,10.1632020491668,10.4361644207143,10.0053265416414,10.1663813501898
1106_s_at,9.36670920425995,9.48592333363837,9.24532935806454,9.41350480032789,9.40686580722177,9.35674047258691,9.41927128992847,9.49950249627658,9.32739791439683
1107_s_at,10.0626396666376,10.2721450781308,9.96044496890097,9.88320400055115,9.85922046300663,9.65984967693894,9.690195899652,9.89898850832123,9.65613557224836
1108_s_at,9.06287758607068,9.0673274066752,9.1459648910878,9.13495859679253,9.27450627777511,9.18875183686905,9.15064959754544,9.09144848875893,9.24854610814727
1109_s_at,9.1144460283525,9.2008998353723,9.28186573621581,9.24461574359911,9.18993252715316,9.20046327130965,9.27325073039762,9.29864834798112,9.28696402970363
